entry_ts_dh,date,type_dh,short_strike_dh,long_strike_dh,pnl,lots,pnl_per_lot,exit_ts_dh,expiry,type_bt,entry_ts_bt,atm,lot,short_strike_bt,long_strike_bt,credit,margin,alpha,alpha2,spot_entry,exit_ts_bt,exit_reason,exit_cost_to_close,gross_pnl,charges,net_pnl,same_type,same_short,entry_diff_min
2025-07-10 10:20:00,2025-07-10,bull_put,25400.0,25000.0,-2171.25,3,-723.75,2025-07-11 00:00:11.800,2025-07-10,bear_call,2025-07-10 10:50:00,25400,75,25400,25800,52.1,26092.5,0.1291139240506329,0.1491525423728813,25403.55,2025-07-10 15:16:00,TIME,0.15,3896.25,100.19720980249998,3796.0527901975,False,True,30.0
2025-07-11 10:20:00,2025-07-11,bear_call,25250.0,25650.0,19830.0,4,4957.5,2025-07-14 15:00:52.623,2025-07-17,bear_call,2025-07-11 10:18:00,25250,75,25250,25650,119.0,21075.0,0.1518987341772152,0.0711864406779661,25252.2,2025-07-14 15:16:00,TIME,48.75,5268.75,112.7353453175,5156.0146546825,True,True,2.0
2025-07-15 10:19:00,2025-07-15,bear_call,25150.0,25550.0,-13215.0,4,-3303.75,2025-07-15 11:01:31.335,2025-07-17,bear_call,2025-07-15 10:19:00,25100,75,25100,25500,92.65,23051.25,0.1493670886075949,0.1152542372881356,25113.75,2025-07-15 11:02:00,SL,144.05,-3855.000000000001,112.921977125,-3967.921977125001,True,False,0.0
2025-07-15 10:19:00,2025-07-15,bear_call,25150.0,25550.0,-13215.0,4,-3303.75,2025-07-15 11:01:31.335,2025-07-17,bull_put,2025-07-15 11:10:00,25250,75,25250,24850,78.30000000000001,24127.5,0.9493670886075948,0.8711864406779661,25231.75,2025-07-16 09:26:00,SL,127.5,-3690.0,109.279218455,-3799.279218455,False,False,51.0
2025-07-15 11:04:00,2025-07-15,bull_put,25200.0,24800.0,9285.0,4,2321.25,2025-07-16 15:00:40.134,2025-07-17,bear_call,2025-07-15 10:19:00,25100,75,25100,25500,92.65,23051.25,0.1493670886075949,0.1152542372881356,25113.75,2025-07-15 11:02:00,SL,144.05,-3855.000000000001,112.921977125,-3967.921977125001,False,False,45.0
2025-07-15 11:04:00,2025-07-15,bull_put,25200.0,24800.0,9285.0,4,2321.25,2025-07-16 15:00:40.134,2025-07-17,bull_put,2025-07-15 11:10:00,25250,75,25250,24850,78.30000000000001,24127.5,0.9493670886075948,0.8711864406779661,25231.75,2025-07-16 09:26:00,SL,127.5,-3690.0,109.279218455,-3799.279218455,True,False,6.0
2025-07-18 14:14:00,2025-07-18,bull_put,24950.0,24550.0,13740.0,4,3435.0,2025-07-21 15:00:29.733,2025-07-24,bear_call,2025-07-18 10:16:00,25000,75,25000,25400,125.75,20568.75,0.0645569620253164,0.0033898305084745,24996.35,2025-07-21 15:16:00,TIME,139.45000000000002,-1027.5000000000025,118.322844515,-1145.8228445150023,False,False,238.0
2025-07-22 10:15:00,2025-07-22,bull_put,25100.0,24700.0,14670.0,4,3667.5,2025-07-23 15:00:29.672,2025-07-24,bear_call,2025-07-22 10:30:00,25100,75,25100,25500,79.2,24060.0,0.0683544303797468,0.1084745762711864,25102.0,2025-07-23 14:15:00,SL,133.45000000000002,-4068.750000000001,108.5482615625,-4177.298261562501,False,True,15.0
2025-07-24 10:22:00,2025-07-24,bull_put,25150.0,24750.0,-9393.75,3,-3131.25,2025-07-24 11:34:57.816,2025-07-24,bear_call,2025-07-24 10:39:00,25150,75,25150,25550,42.55,26808.75,0.1518987341772152,0.1762711864406779,25171.2,2025-07-24 15:16:00,TIME,0.1,3183.75,99.1196392775,3084.6303607225,False,True,17.0
2025-07-24 11:37:00,2025-07-24,bear_call,25100.0,25500.0,6693.75,3,2231.25,2025-07-25 00:00:15.429,2025-07-24,bear_call,2025-07-24 10:39:00,25150,75,25150,25550,42.55,26808.75,0.1518987341772152,0.1762711864406779,25171.2,2025-07-24 15:16:00,TIME,0.1,3183.75,99.1196392775,3084.6303607225,True,False,58.0
