date,expiry,type,entry_ts,atm,lot,short_strike,long_strike,credit,margin,alpha,alpha2,spot_entry,exit_ts,exit_reason,exit_cost_to_close,gross_pnl,charges,net_pnl,short_entry,long_entry,short_exit,long_exit
2026-07-14,2026-07-14,bear_call,2026-07-14 11:56:08,24100,65,24100,24500,34.35,23767.25,0.1417721518987341,0.135593220338983,24104.6,2026-07-14 15:15:09,TIME,0.1,2226.25,97.6397358825,2128.6102641175,,,,
2026-07-15,2026-07-21,bull_put,2026-07-15 12:17:08,24200,65,24200,23800,121.39999999999998,18109.0,0.9164556962025316,0.9220338983050848,24191.7,2026-07-15 12:56:10,SL,166.60000000000002,-2938.0000000000027,123.414519898,-3061.4145198980027,,,,
2026-07-15,2026-07-21,bull_put,2026-07-15 13:03:08,24050,65,24050,23650,124.7,17894.5,0.9759493670886076,0.8813559322033898,24065.5,2026-07-16 15:15:09,TIME,93.4,2034.5,115.796510538,1918.703489462,,,,
2026-07-17,2026-07-21,bear_call,2026-07-17 11:10:08,24250,65,24250,24650,98.7,19584.5,0.1481012658227848,0.0813559322033898,24238.85,2026-07-17 14:16:10,SL,142.65,-2856.75,111.1615361485,-2967.9115361485,,,,
2026-07-20,2026-07-21,bull_put,2026-07-20 10:18:08,24200,65,24200,23800,76.75,21011.25,0.8126582278481013,0.8135593220338984,24222.15,2026-07-21 15:00:09,TIME,24.65,3386.4999999999995,103.008845063,3283.4911549369995,,,,
2026-07-22,2026-07-28,bear_call,2026-07-22 10:16:08,24050,65,24050,24450,115.2,18512.0,0.0379746835443038,0.0915254237288135,24033.45,2026-07-23 15:00:09,TIME,42.0,4757.999999999999,110.561869503,4647.438130496999,,,,
2026-07-24,2026-07-28,bull_put,2026-07-24 10:41:08,23650,65,23650,23250,99.5,19532.5,0.9620253164556962,0.9355932203389832,23637.15,2026-07-27 15:00:09,TIME,2.9,6279.0,106.713698514,6172.286301486,,,,
2026-07-28,2026-07-28,bear_call,2026-07-28 10:23:08,24000,65,24000,24400,30.05,24046.75,0.0835443037974683,0.0915254237288135,23989.15,2026-07-28 15:00:08,TIME,4.2,1680.25,97.4111777085,1582.8388222915,,,,
2026-07-28,2026-07-28,bull_put,2026-07-28 10:34:08,24000,65,24000,23600,33.7,23809.5,0.8430379746835444,0.8135593220338984,24003.4,2026-07-28 15:00:09,TIME,36.24999999999999,-165.74999999999935,98.68493529749998,-264.4349352974993,,,,
