entry_ts,dhan,backtest
2025-07-31,14977.5,-7662.262749760004
2025-08-31,16481.25,-3486.6480189200065
2025-09-30,9890.625,-21529.163205352503
2025-10-31,23328.75,10243.449303827505
2025-11-30,15960.0,11783.245015874994
2025-12-31,4386.75,11775.529183045997
2026-01-31,-2740.8333333333335,-8274.034346601511
2026-02-28,12704.25,28521.86999904899
2026-03-31,19067.75,-13938.866632838015
2026-04-30,10808.416666666666,27623.10384174849
2026-05-31,4410.25,-41367.803530408506
2026-06-30,29896.75,30169.584030370996
2026-07-31,2564.25,12477.070985791
