date,expiry,type,entry_ts,atm,lot,short_strike,long_strike,credit,margin,alpha,alpha2,spot_entry,exit_ts,exit_reason,exit_cost_to_close,gross_pnl,charges,net_pnl
2024-09-27,2024-10-03,bull_put,2024-09-27 10:31:00,26250,25,26250,25850,90.8,7730.0,0.8329113924050633,0.9627118644067797,26273.45,2024-09-30 09:31:00,SL,171.10000000000002,-2007.5000000000007,102.75423619,-2110.2542361900005
2024-09-30,2024-10-03,bull_put,2024-09-30 10:28:00,26000,25,26000,25600,86.5,7837.5,0.8848101265822785,0.8203389830508474,25994.5,2024-09-30 13:30:00,SL,170.55,-2101.2500000000005,102.2869913875,-2203.5369913875006
2024-09-30,2024-10-03,bull_put,2024-09-30 13:35:00,25850,25,25850,25450,93.1,7672.499999999999,0.9696202531645569,0.9898305084745763,25863.65,2024-10-01 15:16:00,TIME,85.05,201.24999999999994,99.8459125025,101.40408749749994
2024-10-03,2024-10-03,bear_call,2024-10-03 10:17:00,25500,25,25500,25900,62.55,8436.25,0.15063291139240506,0.17966101694915254,25517.8,2024-10-03 15:16:00,TIME,0.15000000000000002,1560.0,96.753074645,1463.246925355
2024-10-04,2024-10-10,bear_call,2024-10-04 10:20:00,25200,25,25200,25600,161.59999999999997,5960.000000000001,0.0189873417721519,0.010169491525423728,25176.05,2024-10-04 11:52:00,SL,228.8,-1680.0000000000011,109.52438426500001,-1789.5243842650011
2024-10-04,2024-10-10,bull_put,2024-10-04 12:03:00,25400,25,25400,25000,96.05000000000001,7598.75,0.8645569620253165,0.9423728813559322,25413.95,2024-10-04 12:50:00,SL,174.3,-1956.25,108.28774330750001,-2064.5377433075
2024-10-04,2024-10-10,bear_call,2024-10-04 13:00:00,25100,25,25100,25500,179.81,5504.75,0.02911392405063291,0.1152542372881356,25117.25,2024-10-07 15:16:00,TIME,52.74,3176.75,105.57604081049999,3071.1739591895002
2024-10-08,2024-10-10,bull_put,2024-10-08 10:21:00,24850,25,24850,24450,113.5,7162.5,0.9063291139240506,0.8271186440677966,24854.4,2024-10-09 15:16:00,TIME,41.15,1808.7499999999998,101.4110062325,1707.3389937674997
2024-10-10,2024-10-10,bear_call,2024-10-10 10:21:00,25100,25,25100,25500,39.14,9021.5,0.024050632911392405,0.11186440677966102,25095.15,2024-10-10 15:16:00,TIME,0.10000000000000002,976.0,95.850300234,880.149699766
2024-10-11,2024-10-17,bear_call,2024-10-11 10:16:00,25000,25,25000,25400,142.45999999999998,6438.500000000001,0.14430379746835442,0.006779661016949152,25009.15,2024-10-14 15:16:00,TIME,170.50000000000003,-701.0000000000013,103.920976439,-804.9209764390013
2024-10-15,2024-10-17,bear_call,2024-10-15 10:30:00,25050,25,25050,25450,89.2,7770.0,0.008860759493670886,0.030508474576271188,25033.2,2024-10-16 15:16:00,TIME,36.8,1310.0000000000002,98.49321648000002,1211.5067835200002
2024-10-17,2024-10-17,bull_put,2024-10-17 10:16:00,24850,25,24850,24450,37.34,9066.5,0.9544303797468354,0.8169491525423729,24842.4,2024-10-17 15:16:00,TIME,94.65,-1432.75,96.81649893150002,-1529.5664989315
2024-10-18,2024-10-24,bull_put,2024-10-18 10:29:00,24700,25,24700,24300,100.30000000000001,7492.5,0.9240506329113924,0.9966101694915255,24691.55,2024-10-21 15:16:00,TIME,78.35000000000001,548.7500000000001,101.28326391249999,447.4667360875001
2024-10-22,2024-10-24,bear_call,2024-10-22 10:27:00,24700,25,24700,25100,98.7,7532.5,0.05569620253164557,0.05423728813559322,24685.25,2024-10-23 15:16:00,TIME,6.15,2313.75,98.57917369249999,2215.1708263075
2024-10-24,2024-10-24,bear_call,2024-10-24 10:19:00,24450,25,24450,24850,23.56,9411.0,0.18734177215189873,0.1864406779661017,24426.75,2024-10-24 15:16:00,TIME,0.15000000000000002,585.25,95.2924586365,489.9575413635
2024-10-25,2024-10-31,bull_put,2024-10-25 10:19:00,24250,25,24250,23850,111.1,7222.499999999999,0.8227848101265823,0.9661016949152542,24248.4,2024-10-28 15:16:00,TIME,57.6,1337.4999999999998,101.706474775,1235.7935252249997
