date,expiry,type,entry_ts,atm,lot,short_strike,long_strike,credit,margin,spot_entry,exit_ts,exit_reason,gross_pnl,charges,net_pnl
2024-09-27,2024-10-03,bull_put,2024-09-27 10:31:00,26250,25,26250,25850,90.8,7730.0,26273.45,2024-09-30 15:01:00,TIME,-5433.750000000001,108.06981952749999,-5541.819819527501
2024-10-01,2024-10-03,bear_call,2024-10-01 10:19:00,25800,25,25800,26200,96.16000000000001,7595.999999999999,25812.55,2024-10-03 15:01:00,TIME,2397.7500000000005,98.27923948149999,2299.4707605185004
2024-10-04,2024-10-10,bear_call,2024-10-04 10:20:00,25200,25,25200,25600,161.59999999999997,5960.000000000001,25176.05,2024-10-07 15:01:00,TIME,2973.749999999999,103.30061718250002,2870.449382817499
2024-10-08,2024-10-10,bull_put,2024-10-08 10:21:00,24850,25,24850,24450,113.5,7162.5,24854.4,2024-10-09 15:01:00,TIME,1672.5000000000002,101.473897825,1571.0261021750002
2024-10-10,2024-10-10,bear_call,2024-10-10 10:21:00,25100,25,25100,25500,39.14,9021.5,25095.15,2024-10-10 15:01:00,TIME,968.5,95.85595807400001,872.644041926
2024-10-11,2024-10-17,bull_put,2024-10-11 10:47:00,25000,25,25000,24600,114.0,7150.0,24978.5,2024-10-14 15:01:00,TIME,1527.5,101.366391465,1426.133608535
2024-10-15,2024-10-17,bull_put,2024-10-15 10:17:00,25050,25,25050,24650,94.45,7638.75,25071.9,2024-10-16 15:01:00,TIME,176.24999999999994,99.51774594250001,76.73225405749993
2024-10-17,2024-10-17,bull_put,2024-10-17 10:16:00,24850,25,24850,24450,37.34,9066.5,24842.4,2024-10-17 15:01:00,TIME,-1544.0000000000002,96.868277174,-1640.8682771740002
2024-10-18,2024-10-24,bull_put,2024-10-18 10:16:00,24700,25,24700,24300,104.29999999999998,7392.500000000001,24678.65,2024-10-21 15:01:00,TIME,887.4999999999993,101.36506152,786.1349384799993
2024-10-22,2024-10-24,bear_call,2024-10-22 10:27:00,24700,25,24700,25100,98.7,7532.5,24685.25,2024-10-23 15:01:00,TIME,2298.75,98.5928132075,2200.1571867925
2024-10-24,2024-10-24,bear_call,2024-10-24 10:19:00,24450,25,24450,24850,23.56,9411.0,24426.75,2024-10-24 15:01:00,TIME,580.2499999999999,95.29700514150002,484.9529948584999
2024-10-25,2024-10-31,bull_put,2024-10-25 10:19:00,24250,25,24250,23850,111.1,7222.499999999999,24248.4,2024-10-28 15:01:00,TIME,1487.5,101.65606152000001,1385.84393848
2024-10-29,2024-10-31,bull_put,2024-10-29 10:24:00,24200,25,24200,23800,80.8,7980.0,24220.25,2024-10-30 15:01:00,TIME,1521.2499999999998,98.30170760250002,1422.9482923974997
2024-10-31,2024-10-31,bear_call,2024-10-31 10:18:00,24250,25,24250,24650,46.95,8826.25,24261.8,2024-10-31 15:01:00,TIME,1165.0,96.138561675,1068.861438325
2024-11-04,2024-11-07,bull_put,2024-11-04 10:18:00,24000,25,24000,23600,142.64999999999998,6433.750000000001,23982.45,2024-11-05 15:01:00,TIME,1803.7499999999995,105.49155932749998,1698.2584406724995
2024-11-06,2024-11-07,bear_call,2024-11-06 10:27:00,24350,25,24350,24750,97.9,7552.500000000001,24353.2,2024-11-07 15:01:00,TIME,2441.25,98.3667986625,2342.8832013375
2024-11-08,2024-11-14,bear_call,2024-11-08 10:27:00,24200,25,24200,24600,135.34999999999997,6616.250000000001,24195.2,2024-11-11 15:01:00,TIME,1218.7499999999993,102.20776334249997,1116.5422366574994
2024-11-12,2024-11-14,bull_put,2024-11-12 10:18:00,24200,25,24200,23800,103.30000000000001,7417.5,24178.9,2024-11-13 15:01:00,TIME,-7084.999999999999,115.80557114999999,-7200.805571149999
2024-11-14,2024-11-14,bear_call,2024-11-14 10:28:00,23600,25,23600,24000,34.190000000000005,9145.25,23590.6,2024-11-14 15:01:00,TIME,847.2500000000002,95.68909349649999,751.5609065035003
2024-11-18,2024-11-21,bear_call,2024-11-18 10:20:00,23450,25,23450,23850,110.0,7250.0,23425.9,2024-11-19 15:01:00,TIME,-643.7500000000007,101.15107773250001,-744.9010777325007
2024-11-21,2024-11-21,bull_put,2024-11-21 10:23:00,23300,25,23300,22900,32.35,9191.25,23322.55,2024-11-21 15:01:00,TIME,800.0,95.66873346499999,704.331266535
2024-11-22,2024-11-28,bear_call,2024-11-22 10:23:00,23550,25,23550,23950,159.05,6023.75,23545.25,2024-11-25 15:01:00,TIME,-5181.25,122.4257714025,-5303.6757714025
2024-11-26,2024-11-28,bear_call,2024-11-26 10:16:00,24200,25,24200,24600,123.05,6923.75,24220.05,2024-11-27 15:01:00,TIME,-168.50000000000057,101.11177673899999,-269.61177673900056
2024-11-28,2024-11-28,bear_call,2024-11-28 10:16:00,24300,25,24300,24700,69.2,8270.0,24324.8,2024-11-28 15:01:00,TIME,1721.2500000000002,96.95792990249998,1624.2920700975003
2024-11-29,2024-12-05,bull_put,2024-11-29 10:28:00,24050,25,24050,23650,115.1,7122.499999999999,24035.6,2024-12-02 15:01:00,TIME,1626.25,102.5262402625,1523.7237597375
2024-12-03,2024-12-05,bull_put,2024-12-03 10:17:00,24350,25,24350,23950,103.89999999999999,7402.500000000001,24358.7,2024-12-04 15:01:00,TIME,839.9999999999995,101.00274411,738.9972558899996
2024-12-05,2024-12-05,bear_call,2024-12-05 10:17:00,24400,25,24400,24800,117.84999999999998,7053.750000000001,24410.25,2024-12-05 15:01:00,TIME,-701.2500000000007,100.93728343249998,-802.1872834325006
2024-12-06,2024-12-12,bull_put,2024-12-06 10:23:00,24700,25,24700,24300,132.79999999999998,6680.000000000001,24711.55,2024-12-09 15:01:00,TIME,-422.50000000000085,105.774757305,-528.2747573050009
2024-12-10,2024-12-12,bull_put,2024-12-10 10:16:00,24650,25,24650,24250,105.69999999999999,7357.5,24657.45,2024-12-11 15:01:00,TIME,917.4999999999998,100.04805406499999,817.4519459349998
2024-12-12,2024-12-12,bull_put,2024-12-12 10:32:00,24600,25,24600,24200,29.89,9252.75,24624.7,2024-12-12 15:01:00,TIME,-591.4999999999999,96.233389554,-687.7333895539999
2024-12-13,2024-12-19,bear_call,2024-12-13 10:16:00,24300,25,24300,24700,133.65,6658.750000000001,24315.7,2024-12-16 15:01:00,TIME,-3722.5000000000014,111.53384274999999,-3834.0338427500014
2024-12-17,2024-12-19,bear_call,2024-12-17 10:21:00,24450,25,24450,24850,121.29999999999998,6967.500000000001,24456.25,2024-12-18 15:01:00,TIME,2652.4999999999995,101.13353174,2551.3664682599997
2024-12-30,2025-01-02,bear_call,2024-12-30 10:21:00,23750,75,23750,24150,123.2,20760.0,23762.65,2024-12-31 15:01:00,TIME,2411.2500000000005,114.0265157375,2297.2234842625003
2025-01-01,2025-01-02,bull_put,2025-01-01 10:29:00,23650,75,23650,23250,96.2,22785.0,23643.5,2025-01-02 15:01:00,TIME,7192.5,106.679430305,7085.820569695
2025-01-03,2025-01-09,bear_call,2025-01-03 10:29:00,24050,75,24050,24450,123.38999999999999,20745.75,24047.45,2025-01-06 15:01:00,TIME,6295.5,115.63779114199998,6179.862208858
2025-01-07,2025-01-09,bull_put,2025-01-07 10:30:00,23750,75,23750,23350,100.54999999999998,22458.750000000004,23758.85,2025-01-08 15:01:00,TIME,116.24999999999872,113.76396434749999,2.486035652498728
2025-01-09,2025-01-09,bear_call,2025-01-09 10:31:00,23600,75,23600,24000,34.150000000000006,27438.75,23613.95,2025-01-09 15:01:00,TIME,2538.7500000000005,98.36760946249998,2440.3823905375007
2025-01-10,2025-01-16,bull_put,2025-01-10 10:19:00,23400,75,23400,23000,121.85,20861.25,23402.15,2025-01-13 15:01:00,TIME,-8677.500000000002,136.168487975,-8813.668487975001
2025-01-14,2025-01-16,bear_call,2025-01-14 10:19:00,23150,75,23150,23550,99.55000000000001,22533.75,23136.55,2025-01-15 15:01:00,TIME,120.0000000000017,110.52054752000001,9.479452480001697
2025-01-16,2025-01-16,bear_call,2025-01-16 10:50:00,23300,75,23300,23700,16.94,28729.5,23298.05,2025-01-16 15:01:00,TIME,921.7500000000001,96.55437032449998,825.1956296755002
2025-01-17,2025-01-23,bull_put,2025-01-17 10:20:00,23200,75,23200,22800,101.89999999999999,22357.5,23215.05,2025-01-20 15:01:00,TIME,3419.9999999999995,114.98494177399999,3305.0150582259994
2025-01-21,2025-01-23,bear_call,2025-01-21 10:16:00,23250,75,23250,23650,129.75,20268.75,23250.55,2025-01-22 15:01:00,TIME,7541.25,113.21704387249999,7428.0329561275
2025-01-23,2025-01-23,bear_call,2025-01-23 10:40:00,23250,75,23250,23650,21.5,28387.5,23226.15,2025-01-23 15:01:00,TIME,1586.25,96.82506368749999,1489.4249363125
2025-01-24,2025-01-30,bear_call,2025-01-24 10:19:00,23150,25,23150,23550,145.04999999999998,6373.75,23133.3,2025-01-27 15:01:00,TIME,2662.2499999999995,102.8390753265,2559.4109246734997
2025-01-28,2025-01-30,bull_put,2025-01-28 10:23:00,22900,25,22900,22500,127.39999999999998,6815.000000000001,22884.95,2025-01-29 15:01:00,TIME,1706.2499999999995,101.7749363625,1604.4750636374995
2025-01-30,2025-01-30,bear_call,2025-01-30 10:16:00,23300,25,23300,23700,80.21,7994.750000000001,23278.75,2025-01-30 15:01:00,TIME,1981.4999999999998,97.36045513399999,1884.1395448659998
2025-01-31,2025-02-06,bull_put,2025-01-31 10:16:00,23350,75,23350,22950,133.2,20010.0,23348.65,2025-02-01 15:01:00,TIME,5576.25,133.09487581250002,5443.1551241875
2025-02-03,2025-02-06,bear_call,2025-02-03 10:17:00,23250,75,23250,23650,133.48999999999998,19988.25,23249.75,2025-02-04 15:01:00,TIME,-15799.5,139.82804167700002,-15939.328041677
2025-02-05,2025-02-06,bull_put,2025-02-05 10:26:00,23750,75,23750,23350,74.75000000000001,24393.75,23757.05,2025-02-06 15:01:00,TIME,-7233.749999999998,109.00011548749998,-7342.750115487498
2025-02-07,2025-02-13,bear_call,2025-02-07 10:19:00,23550,75,23550,23950,142.04999999999998,19346.250000000004,23536.5,2025-02-10 15:01:00,TIME,5287.499999999999,119.34296855,5168.1570314499995
2025-02-11,2025-02-13,bull_put,2025-02-11 10:25:00,23300,75,23300,22900,107.5,21937.5,23280.4,2025-02-12 15:01:00,TIME,-11055.0,122.285432345,-11177.285432345
2025-02-13,2025-02-13,bear_call,2025-02-13 10:22:00,23150,75,23150,23550,68.2,24885.0,23156.55,2025-02-13 15:01:00,TIME,5092.5,101.83357406000002,4990.66642594
2025-02-14,2025-02-20,bull_put,2025-02-14 10:18:00,23050,75,23050,22650,100.41,22469.250000000004,23074.15,2025-02-17 15:01:00,TIME,-2868.0000000000027,120.939657632,-2988.9396576320028
2025-02-18,2025-02-20,bear_call,2025-02-18 10:19:00,22900,75,22900,23300,116.5,21262.5,22897.3,2025-02-19 15:01:00,TIME,1575.0000000000011,113.76385034,1461.236149660001
2025-02-20,2025-02-20,bull_put,2025-02-20 10:21:00,22900,75,22900,22500,44.900000000000006,26632.5,22890.7,2025-02-20 15:01:00,TIME,3225.0000000000005,99.45684900500001,3125.5431509950004
2025-02-21,2025-02-27,bull_put,2025-02-21 10:21:00,22800,75,22800,22400,116.69999999999999,21247.5,22782.05,2025-02-24 15:01:00,TIME,-3765.0000000000036,122.4120164,-3887.4120164000037
2025-02-25,2025-02-27,bear_call,2025-02-25 10:19:00,22600,75,22600,23000,64.2,25185.0,22578.4,2025-02-27 15:01:00,TIME,4796.25,101.8537231775,4694.3962768225
2025-02-28,2025-03-06,bull_put,2025-02-28 10:22:00,22300,75,22300,21900,93.15,23013.75,22287.05,2025-03-03 15:01:00,TIME,-5955.0,118.53337838000002,-6073.53337838
2025-03-04,2025-03-06,bull_put,2025-03-04 10:34:00,22050,75,22050,21650,71.21000000000001,24659.249999999996,22072.55,2025-03-05 15:01:00,TIME,4613.25,103.6709776445,4509.5790223555
2025-03-06,2025-03-06,bull_put,2025-03-06 10:17:00,22350,75,22350,21950,51.1,26167.5,22357.55,2025-03-06 15:01:00,TIME,3817.5,100.05095772499999,3717.449042275
2025-03-07,2025-03-13,bull_put,2025-03-07 10:18:00,22600,75,22600,22200,99.29999999999998,22552.500000000004,22619.5,2025-03-10 15:01:00,TIME,-4905.0,119.60732028500001,-5024.607320285
2025-03-11,2025-03-13,bull_put,2025-03-11 10:24:00,22450,75,22450,22050,102.2,22335.0,22432.25,2025-03-12 15:01:00,TIME,4008.75,109.6284465275,3899.1215534725
2025-03-13,2025-03-13,bull_put,2025-03-13 10:16:00,22550,75,22550,22150,28.1,27892.5,22551.65,2025-03-13 15:01:00,TIME,-9622.5,102.77677335499999,-9725.276773355
2025-03-17,2025-03-20,bear_call,2025-03-17 10:28:00,22500,75,22500,22900,107.96000000000001,21902.999999999996,22478.95,2025-03-18 15:01:00,TIME,-13413.0,123.954107462,-13536.954107462
2025-03-19,2025-03-20,bull_put,2025-03-19 10:16:00,22900,75,22900,22500,70.5,24712.5,22879.1,2025-03-20 15:01:00,TIME,5265.0,103.08844940000002,5161.9115506
2025-03-21,2025-03-27,bull_put,2025-03-21 10:27:00,23300,75,23300,22900,109.1,21817.5,23276.05,2025-03-24 15:01:00,TIME,6656.25,111.08677165249999,6545.1632283475
