date,expiry,type,entry_ts,atm,lot,short_strike,long_strike,credit,margin,alpha,alpha2,spot_entry,exit_ts,exit_reason,exit_cost_to_close,gross_pnl,charges,net_pnl
2024-09-27,2024-10-03,bull_put,2024-09-27 10:31:00,26250,25,26250,25850,90.8,7730.0,0.8329113924050633,0.9627118644067797,26273.45,2024-09-27 15:16:00,EOD,104.75000000000003,-348.7500000000008,101.30809574250002,-450.0580957425008
2024-09-30,2024-10-03,bull_put,2024-09-30 10:28:00,26000,25,26000,25600,86.5,7837.5,0.8848101265822785,0.8203389830508474,25994.5,2024-09-30 11:26:00,SL,120.55000000000001,-851.2500000000002,101.1317744575,-952.3817744575002
2024-09-30,2024-10-03,bear_call,2024-09-30 11:33:00,25900,25,25900,26300,121.89999999999999,6952.500000000001,0.1911392405063291,0.17288135593220338,25901.05,2024-09-30 15:16:00,EOD,79.94999999999999,1048.75,101.4095721625,947.3404278375
2024-10-01,2024-10-03,bear_call,2024-10-01 10:19:00,25800,25,25800,26200,96.16000000000001,7595.999999999999,0.08860759493670886,0.09491525423728814,25812.55,2024-10-01 15:16:00,EOD,77.65,462.7500000000001,99.2927858815,363.45721411850013
2024-10-03,2024-10-03,bear_call,2024-10-03 10:17:00,25500,25,25500,25900,62.55,8436.25,0.15063291139240506,0.17966101694915254,25517.8,2024-10-03 15:16:00,EOD,0.15000000000000002,1560.0,96.753074645,1463.246925355
2024-10-04,2024-10-10,bear_call,2024-10-04 10:20:00,25200,25,25200,25600,161.59999999999997,5960.000000000001,0.0189873417721519,0.010169491525423728,25176.05,2024-10-04 10:44:00,SL,189.15000000000003,-688.7500000000017,107.22467193749999,-795.9746719375017
2024-10-04,2024-10-10,bull_put,2024-10-04 10:52:00,25350,25,25350,24950,106.96,7326.000000000001,0.8987341772151899,0.9728813559322034,25325.5,2024-10-04 12:44:00,SL,145.0,-951.0000000000001,107.55969146899999,-1058.5596914690002
2024-10-04,2024-10-10,bear_call,2024-10-04 13:00:00,25100,25,25100,25500,179.81,5504.75,0.02911392405063291,0.1152542372881356,25117.25,2024-10-04 15:16:00,EOD,124.69,1378.0,107.358628548,1270.641371452
2024-10-07,2024-10-10,bull_put,2024-10-07 10:19:00,25100,25,25100,24700,107.95,7301.25,0.8189873417721519,0.8101694915254237,25076.55,2024-10-07 10:39:00,SL,137.89999999999998,-748.7499999999993,105.7408512275,-854.4908512274993
2024-10-07,2024-10-10,bear_call,2024-10-07 10:46:00,24950,25,24950,25350,150.6,6235.0,0.08227848101265822,0.11186440677966102,24938.1,2024-10-07 15:16:00,EOD,92.0,1464.9999999999998,103.99919387500002,1361.0008061249998
2024-10-08,2024-10-10,bull_put,2024-10-08 10:21:00,24850,25,24850,24450,113.5,7162.5,0.9063291139240506,0.8271186440677966,24854.4,2024-10-08 15:16:00,EOD,58.0,1387.5,102.36280789499997,1285.137192105
2024-10-09,2024-10-10,bear_call,2024-10-09 10:17:00,25150,25,25150,25550,97.35,7566.249999999999,0.1569620253164557,0.16610169491525423,25134.5,2024-10-09 11:16:00,SL,134.00000000000003,-916.2500000000009,100.53090988250001,-1016.780909882501
2024-10-09,2024-10-10,bear_call,2024-10-09 11:30:00,25200,25,25200,25600,93.2,7670.0,0.1860759493670886,0.06779661016949153,25212.45,2024-10-09 15:16:00,EOD,15.7,1937.5,98.321167805,1839.178832195
2024-10-10,2024-10-10,bear_call,2024-10-10 10:21:00,25100,25,25100,25500,39.14,9021.5,0.024050632911392405,0.11186440677966102,25095.15,2024-10-10 15:16:00,EOD,0.10000000000000002,976.0,95.850300234,880.149699766
