config,trades,win%,net,avg,PF,maxDD,avg_win,avg_loss,SL_hits,t
no stop,266,64.3,57725,217,1.11,124058,3478,-5652,0,0.63
SL 10%,509,35.6,-103975,-204,0.87,154971,3836,-2434,314,-1.34
SL 15%  <- LIVE,406,48.0,42772,105,1.06,73826,3737,-3251,193,0.53
SL 20%,359,54.6,32188,89,1.05,96302,3546,-4066,137,0.39
SL 25%,344,57.3,-15876,-46,0.98,98493,3460,-4746,118,-0.18
SL 30%,326,57.1,-82463,-252,0.89,141047,3463,-5190,98,-0.92
SL 40%,297,60.3,-49194,-165,0.93,138920,3446,-5644,62,-0.54
SL 50%,283,63.3,34848,123,1.06,101694,3456,-5613,38,0.39
